wikidata_id,name,latitude,longitude,postal_code
Q518360,Bílina,50.548631074,13.775445246,418 01
Q523469,Mariánské Lázně,49.964703891,12.701249703,353 01
Q581478,Břeclav,48.758991122,16.882020775,691 46
Q581478,Břeclav,48.758991122,16.882020775,690 02
Q581478,Břeclav,48.758991122,16.882020775,690 06
Q581478,Břeclav,48.758991122,16.882020775,691 41
Q581478,Břeclav,48.758991122,16.882020775,690 03
Q583910,Aš,50.223996008,12.1950743,352 01
Q587388,Mohelnice,49.77700159,16.919508491,789 85
Q591823,Náchod,50.416738226,16.162974008,547 01
Q602976,Klatovy,49.395625338,13.295088913,339 01
Q641158,Horažďovice,49.32078181,13.701031041,341 01
Q656603,Jičín,50.4370452,15.3516528,506 01
Q664895,Uherský Brod,49.02513343,17.647153295,687 34
Q664895,Uherský Brod,49.02513343,17.647153295,688 01
Q664895,Uherský Brod,49.02513343,17.647153295,688 02
Q668695,Frenštát pod Radhoštěm,49.54833455,18.210809609,744 01
Q682361,Uničov,49.770928637,17.121482256,783 91
Q682544,Mikulov,48.805586996,16.637789181,692 01
Q683165,Poděbrady,50.142477809,15.11888478,290 01
Q703158,Velké Meziříčí,49.355258131,16.012268756,594 01
Q722732,Litomyšl,49.872064383,16.310576465,570 01
Q722732,Litomyšl,49.872064383,16.310576465,569 67
Q727383,Sokolov,50.181415762,12.640181474,356 01
Q773312,Třeboň,49.003709466,14.770659141,379 01
Q776426,Bučovice,49.148973571,17.001917706,685 01
Q781530,Votice,49.640199066,14.638130325,259 17
Q804395,Blatná,49.424977027,13.881793989,388 01
Q885482,Blovice,49.58229381,13.540135487,336 01
Q890949,Bohumín,49.904089832,18.357595239,735 81
Q890949,Bohumín,49.904089832,18.357595239,735 52
Q890949,Bohumín,49.904089832,18.357595239,735 31
Q890949,Bohumín,49.904089832,18.357595239,735 51
Q894440,Boskovice,49.487537313,16.66000208,680 01
Q894440,Boskovice,49.487537313,16.66000208,679 01
Q898468,Brandýs nad Labem-Stará Boleslav,50.18716068,14.663332953,250 01
Q93510,Štěpánov nad Svratkou,49.504620737,16.339152727,593 01
Q93510,Štěpánov nad Svratkou,49.504620737,16.339152727,592 63
Q94585,Radostín nad Oslavou,49.461970687,15.965140652,594 44
Q126564,Želetava,49.141921478,15.673013748,675 26
Q143958,Zásada,50.697738032,15.270036005,468 25
Q158418,Nová Říše,49.139460643,15.563609218,588 56
Q158418,Nová Říše,49.139460643,15.563609218,588 65
Q158422,Jimramov,49.637223178,16.226360433,592 42
Q158969,Úsobí,49.514251377,15.502505249,582 53
Q158969,Úsobí,49.514251377,15.502505249,582 54
Q164462,Uhelná Příbram,49.768036149,15.585600725,582 82
Q164462,Uhelná Příbram,49.768036149,15.585600725,583 01
Q164462,Uhelná Příbram,49.768036149,15.585600725,582 45
Q164524,Louňovice pod Blaníkem,49.637300224,14.846735116,257 06
Q164536,Frymburk,48.661027417,14.165628524,382 26
Q164536,Frymburk,48.661027417,14.165628524,382 79
Q164579,Ročov,50.25348294,13.774436539,440 01
Q164579,Ročov,50.25348294,13.774436539,439 67
Q169137,Zdislava,50.765026138,14.876402659,463 53
Q207261,Zlonice,50.287581759,14.092220041,273 71
Q251420,Dolní Čermná,49.979562404,16.564811828,563 01
